id,symbol,symbolName,slug,bscContract
10421,XTM,Torum,torum,0x3f526a5a8811cc1812d923d5dbb20e4b1c6028db
10447,$SBD,Scooby,scooby,0xf0ab4b8daa51f6abf6b4c9fef0cca5d127029aa9
10454,SHIAT,Tegrity Token,tegrity-token,0xe11edc9c7897c8dc6bb4a02704d4edb879b0d735
10458,CTC,Cryptocoin,cryptocoin,0xb7f80a74aaa4fd30a3ee7c03fde3dc88e6002c12
10487,HDLN,Hodlers Network,hodlers-network,0x76ce1E3548ca3AF6cBD3886056806F3eF3A6e301
10518,WSHIB,wShiba,wshiba,0x7207ab575dadd6025e2b334424c5ed10a0282778
10551,KSLV,Kebab Silver,kebab-silver,0x58b8e295fc5b705bcbb48c5978b2b389332e0414
10558,POPIT,Popit.Farm,popit-farm,0x307e77693a4eeb883bf69425f36dc472c93f6d7d
10580,RMARS,RushMars,rushmars,0xcc9a0be2c3069da1d7d361aa15e8f4664f007c95
10602,BRT,Base Reward Token,base-reward-token,0x0d499b25bce7aa72bb6c50e434e2ed26fe1e785d
10651,AVI,Avidax Finance,avidax-finance,0x313a7ec4668cb98b65b6ba0284e75561ccef145b
10662,TORO,TORO,toro-bsc,0x2e18d97bb92bcb9efb029c7ee72f18108ec36c2c
10743,LOLZ,LoLzFinance,lolzfinance,0xbe24e81490ea58df166e70bdd42bf3035732e100
10772,TRDG,Tardigrades Finance (BSC),tardigrades-finance-bsc,0x92a42Db88Ed0F02c71D439e55962Ca7CAB0168b5
10827,BDEX,bDEX (by bEARN.fi Ecosystem),bdex-by-bearn-fi-ecosystem,0x7E0F01918D92b2750bbb18fcebeEDD5B94ebB867
10828,NFTQR,NFT-QR,nft-qr,0x432ef8b023aaba3c42ca540d32351c5b1a869cf7
10870,RARA,RARA,rara,0x83d0e7ddd6208ec6df83807660024cbb7878b685
10943,MINISHIB,miniShibaToken,minishibatoken,0x35Bd36597fF784FCc30D08EBE4Bd917374C40d4B
10969,$CRDN,Cardence.io,cardence-io,0xfa17b330bcc4e7f3e2456996d89a5a54ab044831
11072,TRE,Turtle Finance,turtle-finance,0xa6Cb08514BFF2Ac5f7583959818e4842eF91e74f
11177,EBIRD,Early Bird,early-bird,0x999AEb6D778b3883C88eBC502B16A5395d011462
11198,GOAL,TopGoal,topgoal,
11331.0,ELOIN,Eloin,eloin,0xe39e2861AE9a45FA321c1B0155D2f99196b2A992
